"100016","104","TOPICAL (HOUSEHOLD)","Topique (Maison)"
"14253","56","ORAL","Orale"
"14288","56","ORAL","Orale"
"14333","56","ORAL","Orale"
"1434","56","ORAL","Orale"
"14368","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"14383","56","ORAL","Orale"
"14389","97","INTRAVASCULAR","Intravasculaire"
"14402","22","INTRAMUSCULAR","Intramusculaire"
"14402","49","INTRAVENOUS","Intraveineuse"
"14402","65","SUBCUTANEOUS","Sous-cutanée"
"14475","56","ORAL","Orale"
"14485","56","ORAL","Orale"
"14486","56","ORAL","Orale"
"14491","49","INTRAVENOUS","Intraveineuse"
"14496","70","TOPICAL","Topique"
"14533","70","TOPICAL","Topique"
"14553","56","ORAL","Orale"
"14554","56","ORAL","Orale"
"14565","53","NASAL","Nasale"
"14566","62","RECTAL","Rectale"
"14591","62","RECTAL","Rectale"
"14592","62","RECTAL","Rectale"
"14593","62","RECTAL","Rectale"
"14594","62","RECTAL","Rectale"
"14597","19","INTRADERMAL","Intradermique"
"14597","65","SUBCUTANEOUS","Sous-cutanée"
"14598","19","INTRADERMAL","Intradermique"
"14598","65","SUBCUTANEOUS","Sous-cutanée"
"14599","19","INTRADERMAL","Intradermique"
"14599","65","SUBCUTANEOUS","Sous-cutanée"
"14602","19","INTRADERMAL","Intradermique"
"14602","65","SUBCUTANEOUS","Sous-cutanée"
"14683","56","ORAL","Orale"
"14717","56","ORAL","Orale"
"14767","56","ORAL","Orale"
"149","56","ORAL","Orale"
"1501","22","INTRAMUSCULAR","Intramusculaire"
"1501","49","INTRAVENOUS","Intraveineuse"
"1502","70","TOPICAL","Topique"
"1504","10","INTRA-ARTICULAR","Intra-articulaire"
"1504","22","INTRAMUSCULAR","Intramusculaire"
"15104","56","ORAL","Orale"
"15105","56","ORAL","Orale"
"15106","56","ORAL","Orale"
"15107","56","ORAL","Orale"
"15108","56","ORAL","Orale"
"15118","56","ORAL","Orale"
"1515","56","ORAL","Orale"
"15202","62","RECTAL","Rectale"
"15204","62","RECTAL","Rectale"
"15205","62","RECTAL","Rectale"
"1548","49","INTRAVENOUS","Intraveineuse"
"15585","56","ORAL","Orale"
"157","56","ORAL","Orale"
"15706","56","ORAL","Orale"
"15748","56","ORAL","Orale"
"15808","56","ORAL","Orale"
"15874","19","INTRADERMAL","Intradermique"
"15874","65","SUBCUTANEOUS","Sous-cutanée"
"15877","56","ORAL","Orale"
"15917","22","INTRAMUSCULAR","Intramusculaire"
"15917","49","INTRAVENOUS","Intraveineuse"
"1598","56","ORAL","Orale"
"16100","70","TOPICAL","Topique"
"1612","56","ORAL","Orale"
"1613","56","ORAL","Orale"
"1614","49","INTRAVENOUS","Intraveineuse"
"1615","22","INTRAMUSCULAR","Intramusculaire"
"1615","33","INTRAPERITONEAL","Intrapéritonéale"
"1615","49","INTRAVENOUS","Intraveineuse"
"16174","57","OTIC","Otique"
"16175","56","ORAL","Orale"
"1620","22","INTRAMUSCULAR","Intramusculaire"
"1620","49","INTRAVENOUS","Intraveineuse"
"16217","55","OPHTHALMIC","Ophtalmique"
"16225","49","INTRAVENOUS","Intraveineuse"
"16234","55","OPHTHALMIC","Ophtalmique"
"16241","55","OPHTHALMIC","Ophtalmique"
"16255","55","OPHTHALMIC","Ophtalmique"
"16273","49","INTRAVENOUS","Intraveineuse"
"16273","65","SUBCUTANEOUS","Sous-cutanée"
"16433","22","INTRAMUSCULAR","Intramusculaire"
"16452","29","INHALATION","Inhalation"
"16452","56","ORAL","Orale"
"16465","22","INTRAMUSCULAR","Intramusculaire"
"16465","49","INTRAVENOUS","Intraveineuse"
"16467","56","ORAL","Orale"
"16475","56","ORAL","Orale"
"16477","55","OPHTHALMIC","Ophtalmique"
"16486","22","INTRAMUSCULAR","Intramusculaire"
"16521","29","INHALATION","Inhalation"
"16521","56","ORAL","Orale"
"16522","56","ORAL","Orale"
"16523","22","INTRAMUSCULAR","Intramusculaire"
"16523","65","SUBCUTANEOUS","Sous-cutanée"
"1657","56","ORAL","Orale"
"16623","55","OPHTHALMIC","Ophtalmique"
"16624","55","OPHTHALMIC","Ophtalmique"
"16625","55","OPHTHALMIC","Ophtalmique"
"16627","49","INTRAVENOUS","Intraveineuse"
"16629","55","OPHTHALMIC","Ophtalmique"
"16630","55","OPHTHALMIC","Ophtalmique"
"16631","55","OPHTHALMIC","Ophtalmique"
"16634","55","OPHTHALMIC","Ophtalmique"
"16648","55","OPHTHALMIC","Ophtalmique"
"16650","55","OPHTHALMIC","Ophtalmique"
"16650","70","TOPICAL","Topique"
"16652","55","OPHTHALMIC","Ophtalmique"
"16653","55","OPHTHALMIC","Ophtalmique"
"16654","55","OPHTHALMIC","Ophtalmique"
"16655","55","OPHTHALMIC","Ophtalmique"
"16688","70","TOPICAL","Topique"
"1670","56","ORAL","Orale"
"16754","56","ORAL","Orale"
"16755","56","ORAL","Orale"
"16756","56","ORAL","Orale"
"16888","70","TOPICAL","Topique"
"1690","56","ORAL","Orale"
"16901","22","INTRAMUSCULAR","Intramusculaire"
"16938","56","ORAL","Orale"
"1695","56","ORAL","Orale"
"16983","55","OPHTHALMIC","Ophtalmique"
"16988","56","ORAL","Orale"
"17102","56","ORAL","Orale"
"17118","56","ORAL","Orale"
"17119","56","ORAL","Orale"
"17121","56","ORAL","Orale"
"17125","56","ORAL","Orale"
"17184","22","INTRAMUSCULAR","Intramusculaire"
"17184","49","INTRAVENOUS","Intraveineuse"
"17184","65","SUBCUTANEOUS","Sous-cutanée"
"17186","22","INTRAMUSCULAR","Intramusculaire"
"17186","49","INTRAVENOUS","Intraveineuse"
"17186","65","SUBCUTANEOUS","Sous-cutanée"
"17212","55","OPHTHALMIC","Ophtalmique"
"17214","55","OPHTHALMIC","Ophtalmique"
"1723","56","ORAL","Orale"
"1724","56","ORAL","Orale"
"17253","56","ORAL","Orale"
"17254","56","ORAL","Orale"
"1737","49","INTRAVENOUS","Intraveineuse"
"1739","49","INTRAVENOUS","Intraveineuse"
"17399","56","ORAL","Orale"
"17402","22","INTRAMUSCULAR","Intramusculaire"
"17402","49","INTRAVENOUS","Intraveineuse"
"17402","65","SUBCUTANEOUS","Sous-cutanée"
"17426","30","DISINFECTANT (Medical Instruments)","Désinfectant (Instruments médicaux)"
"17733","55","OPHTHALMIC","Ophtalmique"
"17734","55","OPHTHALMIC","Ophtalmique"
"17759","55","OPHTHALMIC","Ophtalmique"
"17831","56","ORAL","Orale"
"17833","56","ORAL","Orale"
"17968","70","TOPICAL","Topique"
"17992","70","TOPICAL","Topique"
"18006","70","TOPICAL","Topique"
"18007","70","TOPICAL","Topique"
"18008","70","TOPICAL","Topique"
"18009","70","TOPICAL","Topique"
"18015","56","ORAL","Orale"
"18029","36","IRRIGATION","Irrigation"
"18099","55","OPHTHALMIC","Ophtalmique"
"18167","6","HAEMODIALYSIS","Hémodialyse"
"18200","6","HAEMODIALYSIS","Hémodialyse"
"18206","6","HAEMODIALYSIS","Hémodialyse"
"1828","56","ORAL","Orale"
"18285","70","TOPICAL","Topique"
"1829","56","ORAL","Orale"
"18334","70","TOPICAL","Topique"
"18412","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"18412","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"18412","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"18481","49","INTRAVENOUS","Intraveineuse"
"18484","49","INTRAVENOUS","Intraveineuse"
"18504","49","INTRAVENOUS","Intraveineuse"
"18535","56","ORAL","Orale"
"18544","56","ORAL","Orale"
"18545","56","ORAL","Orale"
"18546","56","ORAL","Orale"
"18547","56","ORAL","Orale"
"1857","56","ORAL","Orale"
"18602","56","ORAL","Orale"
"18636","56","ORAL","Orale"
"18644","49","INTRAVENOUS","Intraveineuse"
"18664","56","ORAL","Orale"
"18674","49","INTRAVENOUS","Intraveineuse"
"18674","96","INTRAVESICAL","Intravésicale"
"18687","30","DISINFECTANT (Medical Instruments)","Désinfectant (Instruments médicaux)"
"18687","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"1869","56","ORAL","Orale"
"18692","5","DENTAL","Dentaire"
"18726","56","ORAL","Orale"
"18752","56","ORAL","Orale"
"18753","56","ORAL","Orale"
"1878","56","ORAL","Orale"
"18789","56","ORAL","Orale"
"18823","49","INTRAVENOUS","Intraveineuse"
"18824","49","INTRAVENOUS","Intraveineuse"
"18825","49","INTRAVENOUS","Intraveineuse"
"18827","49","INTRAVENOUS","Intraveineuse"
"18909","56","ORAL","Orale"
"18910","56","ORAL","Orale"
"1892","56","ORAL","Orale"
"18964","22","INTRAMUSCULAR","Intramusculaire"
"18964","49","INTRAVENOUS","Intraveineuse"
"18991","49","INTRAVENOUS","Intraveineuse"
"19057","56","ORAL","Orale"
"19065","56","ORAL","Orale"
"19066","56","ORAL","Orale"
"19068","56","ORAL","Orale"
"19069","56","ORAL","Orale"
"19071","56","ORAL","Orale"
"19073","56","ORAL","Orale"
"19078","49","INTRAVENOUS","Intraveineuse"
"19088","56","ORAL","Orale"
"19091","56","ORAL","Orale"
"19111","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"19124","22","INTRAMUSCULAR","Intramusculaire"
"19124","49","INTRAVENOUS","Intraveineuse"
"19124","65","SUBCUTANEOUS","Sous-cutanée"
"19231","56","ORAL","Orale"
"19261","56","ORAL","Orale"
"19268","56","ORAL","Orale"
"19275","56","ORAL","Orale"
"1929","56","ORAL","Orale"
"19303","55","OPHTHALMIC","Ophtalmique"
"19306","49","INTRAVENOUS","Intraveineuse"
"19307","55","OPHTHALMIC","Ophtalmique"
"19364","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"19364","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"19405","56","ORAL","Orale"
"19406","56","ORAL","Orale"
"19434","56","ORAL","Orale"
"19506","70","TOPICAL","Topique"
"19739","6","HAEMODIALYSIS","Hémodialyse"
"19744","6","HAEMODIALYSIS","Hémodialyse"
"1978","56","ORAL","Orale"
"1979","56","ORAL","Orale"
"19898","64","SUBARACHNOIDAL","Sous-arachnoÏdienne"
"19898","97","INTRAVASCULAR","Intravasculaire"
"19899","97","INTRAVASCULAR","Intravasculaire"
"1990","56","ORAL","Orale"
"1991","56","ORAL","Orale"
"1992","56","ORAL","Orale"
"1993","56","ORAL","Orale"
"1995","22","INTRAMUSCULAR","Intramusculaire"
"1995","49","INTRAVENOUS","Intraveineuse"
"1995","65","SUBCUTANEOUS","Sous-cutanée"
"1996","56","ORAL","Orale"
"1997","56","ORAL","Orale"
"1998","49","INTRAVENOUS","Intraveineuse"
"1999","22","INTRAMUSCULAR","Intramusculaire"
"2000","56","ORAL","Orale"
"2001","56","ORAL","Orale"
"20012","56","ORAL","Orale"
"2002","22","INTRAMUSCULAR","Intramusculaire"
"2002","33","INTRAPERITONEAL","Intrapéritonéale"
"2002","49","INTRAVENOUS","Intraveineuse"
"2003","49","INTRAVENOUS","Intraveineuse"
"2004","56","ORAL","Orale"
"2006","56","ORAL","Orale"
"20068","30","DISINFECTANT (Medical Instruments)","Désinfectant (Instruments médicaux)"
"20068","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"20068","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"2007","56","ORAL","Orale"
"20076","6","HAEMODIALYSIS","Hémodialyse"
"2008","22","INTRAMUSCULAR","Intramusculaire"
"2008","49","INTRAVENOUS","Intraveineuse"
"2009","56","ORAL","Orale"
"20091","30","DISINFECTANT (Medical Instruments)","Désinfectant (Instruments médicaux)"
"20091","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"20091","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"2010","22","INTRAMUSCULAR","Intramusculaire"
"2011","49","INTRAVENOUS","Intraveineuse"
"2012","49","INTRAVENOUS","Intraveineuse"
"2013","7","EPIDURAL","Épidurale"
"20131","70","TOPICAL","Topique"
"2014","22","INTRAMUSCULAR","Intramusculaire"
"2014","49","INTRAVENOUS","Intraveineuse"
"2014","65","SUBCUTANEOUS","Sous-cutanée"
"2015","56","ORAL","Orale"
"20187","56","ORAL","Orale"
"20188","56","ORAL","Orale"
"20258","70","TOPICAL","Topique"
"20265","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"20265","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"20271","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"20271","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"20298","70","TOPICAL","Topique"
"20306","56","ORAL","Orale"
"20307","56","ORAL","Orale"
"20341","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"20341","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"2043","56","ORAL","Orale"
"2044","22","INTRAMUSCULAR","Intramusculaire"
"2044","65","SUBCUTANEOUS","Sous-cutanée"
"2045","56","ORAL","Orale"
"2045","70","TOPICAL","Topique"
"2047","56","ORAL","Orale"
"2058","56","ORAL","Orale"
"2059","56","ORAL","Orale"
"2072","70","TOPICAL","Topique"
"209","56","ORAL","Orale"
"209","70","TOPICAL","Topique"
"2091","56","ORAL","Orale"
"2092","56","ORAL","Orale"
"21167","56","ORAL","Orale"
"21168","56","ORAL","Orale"
"2119","56","ORAL","Orale"
"2126","56","ORAL","Orale"
"2163","70","TOPICAL","Topique"
"2169","70","TOPICAL","Topique"
"21713","49","INTRAVENOUS","Intraveineuse"
"21715","49","INTRAVENOUS","Intraveineuse"
"21752","49","INTRAVENOUS","Intraveineuse"
"21755","49","INTRAVENOUS","Intraveineuse"
"2189","22","INTRAMUSCULAR","Intramusculaire"
"2190","49","INTRAVENOUS","Intraveineuse"
"2191","56","ORAL","Orale"
"2193","70","TOPICAL","Topique"
"2194","56","ORAL","Orale"
"2195","56","ORAL","Orale"
"2197","70","TOPICAL","Topique"
"21989","56","ORAL","Orale"
"2199","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"2199","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"21993","49","INTRAVENOUS","Intraveineuse"
"2210","56","ORAL","Orale"
"2252","22","INTRAMUSCULAR","Intramusculaire"
"2252","49","INTRAVENOUS","Intraveineuse"
"2262","56","ORAL","Orale"
"2283","56","ORAL","Orale"
"23039","49","INTRAVENOUS","Intraveineuse"
"2308","56","ORAL","Orale"
"231","56","ORAL","Orale"
"232","49","INTRAVENOUS","Intraveineuse"
"233","70","TOPICAL","Topique"
"2357","56","ORAL","Orale"
"2358","56","ORAL","Orale"
"2359","56","ORAL","Orale"
"236","56","ORAL","Orale"
"2360","56","ORAL","Orale"
"2361","56","ORAL","Orale"
"23669","56","ORAL","Orale"
"23672","56","ORAL","Orale"
"23683","56","ORAL","Orale"
"2389","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"2389","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"2396","56","ORAL","Orale"
"2400","56","ORAL","Orale"
"2401","56","ORAL","Orale"
"2442","22","INTRAMUSCULAR","Intramusculaire"
"2442","49","INTRAVENOUS","Intraveineuse"
"2442","65","SUBCUTANEOUS","Sous-cutanée"
"2443","70","TOPICAL","Topique"
"2473","22","INTRAMUSCULAR","Intramusculaire"
"2479","56","ORAL","Orale"
"2480","56","ORAL","Orale"
"2543","49","INTRAVENOUS","Intraveineuse"
"2548","22","INTRAMUSCULAR","Intramusculaire"
